Title,Genre,Tags,Languages,Series or Movie,Hidden Gem Score,Country Availability,Runtime,Director,Writer,Actors,View Rating,IMDb Score,Rotten Tomatoes Score,Metacritic Score,Awards Received,Awards Nominated For,Boxoffice,Release Date,Netflix Release Date,Production House,Netflix Link,IMDb Link,Summary,IMDb Votes,Image,Poster,TMDb Trailer,Trailer Site
End of Watch,"Action, Crime, Drama, Thriller","Action Thrillers,Police Action & Adventure,Action & Adventure,Crime Action & Adventure,Police Movies","English, Spanish",Movie,3.8,"Germany,Australia",1-2 hour,David Ayer,David Ayer,"Natalie Martinez, Jake Gyllenhaal, Anna Kendrick, Michael Peña",R,7.6,85.0,68.0,3.0,10.0,41003371.0,2012-09-21,2015-04-14,Le Grisbi,https://www.netflix.com/watch/70235384,https://www.imdb.com/title/tt1855199,"Officers Taylor and Zavala patrol the streets of South Central Los Angeles, an area of the city ruled by gangs and riddled with drug violence.",228745.0,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABU8eJckU5nnHR8gsK--gtQclCcSGMhaxP9KcOfeGoeMgELXCqiXj_1z0-wQ62DzhzS-s97Yc6nKJ00c8VwKAXntDww.jpg?r=5e8,https://images-na.ssl-images-amazon.com/images/M/MV5BMjMxNjU0ODU5Ml5BMl5BanBnXkFtZTcwNjI4MzAyOA@@._V1_SX300.jpg,https://www.youtube.com/watch?v=TYGXe5ggBx0,YouTube
The Lord of the Rings: The Return of the King,"Action, Adventure, Drama, Fantasy","Sci-Fi & Fantasy,Action Sci-Fi & Fantasy,Fantasy,Epics,Adventures,Action & Adventure,Films Based on Books,Visually-striking Sci-Fi & Fantasy,US Movies,Action,Blockbuster Action & Adventure","English, Quenya, Old English, Sindarin",Movie,4.6,"Portugal,Italy,Sweden,Turkey",> 2 hrs,Peter Jackson,"J.R.R. Tolkien, Philippa Boyens, Peter Jackson, Fran Walsh","Noel Appleby, Ali Astin, David Aston, Sean Astin",PG-13,8.9,93.0,94.0,210.0,124.0,377845905.0,2003-12-17,2015-04-14,"New Line Cinema, Saul Zaentz Company",https://www.netflix.com/watch/60004484,https://www.imdb.com/title/tt0167260,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor.",1645871.0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABWcSnmfT0EFkFlxlc8YVzWVOyQfFFGO24wRhmGRuc6QwK6lF5pj5zUBoJF3d7dFp2oQDJyD2Ylb0ji4aRRH21jnVlg.jpg?r=726,https://images-na.ssl-images-amazon.com/images/M/MV5BYWY1ZWQ5YjMtMDE0MS00NWIzLWE1M2YtODYzYTk2OTNlYWZmXkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_SX300.jpg,https://www.youtube.com/watch?v=r5X-hFf6Bwo,YouTube
Enders Game,"Action, Adventure, Fantasy, Sci-Fi","Sci-Fi & Fantasy,Action Sci-Fi & Fantasy,Alien Sci-Fi,Sci-Fi Adventure,Action & Adventure,Adventures,Movies Based on Books,Blockbuster Action & Adventure,Futuristic Sci-Fi,Action Movies",English,Movie,3.0,"Romania,Hong Kong,Switzerland,Hungary,Czech Republic,Spain,Germany,Italy,Singapore,India,Malaysia,Slovakia",1-2 hour,Gavin Hood,"Orson Scott Card, Gavin Hood","Asa Butterfield, Harrison Ford, Abigail Breslin, Hailee Steinfeld",PG-13,6.6,62.0,51.0,1.0,6.0,61737191.0,2013-11-01,2015-04-14,"Chartoff Productions, Digital Domain, K/O Paper Products, Odd Lot Entertainment, Taleswapper",https://www.netflix.com/watch/70241755,https://www.imdb.com/title/tt1731141,"Talented preteen children, including Andrew Ender Wiggin, are trained for battle against the alien insectoid Formics (Buggers) invading Earth.",224102.0,https://occ-0-1490-1489.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRFADaQ5c3f62kG2ynupROVYNxhBrco4craKokKdpI8UKUGJ_kRrfnjEjyinno9M4Xv03IT9MWmnSS9VsDNXFuWrNQ.jpg?r=81e,https://images-na.ssl-images-amazon.com/images/M/MV5BMjAzMzI5OTgzMl5BMl5BanBnXkFtZTgwMTU5MTAwMDE@._V1_SX300.jpg,https://www.youtube.com/watch?v=vP0cUBi4hwE,YouTube
The Wolf of Wall Street,"Biography, Crime, Drama","Dramas,Award-winning Movies,Dramas based on a book,Golden Globe Award-winning Films,Dramas based on real life,Films Based on Real Life,Comedies,Films Based on Books,Crime Comedies,Crime Movies,Raunchy Comedies,Crime Dramas,20th-Century Period Pieces,Dark Comedies,US Movies,Late Night Comedies,Critically Acclaimed Films,Critically Acclaimed Dramas,Critically Acclaimed Comedies,Crime Movies based on real life","English, French",Movie,3.9,"Romania,Hong Kong,South Africa,Switzerland,Belgium,Hungary,Thailand,Czech Republic,Spain,Germany,Slovakia,United Kingdom,Japan",> 2 hrs,Martin Scorsese,"Terence Winter, Jordan Belfort","Margot Robbie, Leonardo DiCaprio, Matthew McConaughey, Jonah Hill",R,8.2,79.0,75.0,37.0,179.0,116900694.0,2013-12-25,2015-04-14,"Appian Way, Emjag, Sikelia",https://www.netflix.com/watch/70266676,https://www.imdb.com/title/tt0993846,"Martin Scorceses high-rolling Wall Street drama is based on the memoirs of stockbroker Jordan Belfort, whose giddy career ended in federal prison.",1193480.0,https://occ-0-1490-1489.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABdguAtZO1DupET2mnWd_hwQQaJK_WRDIxzNKKXbbk2_oxJ6k8W0p7gCWPNzYyvPUQYTjoOf5h3wGrMFKL3O7TbOE9w.jpg?r=1c7,https://images-na.ssl-images-amazon.com/images/M/MV5BMjIxMjgxNTk0MF5BMl5BanBnXkFtZTgwNjIyOTg2MDE@._V1_SX300.jpg,https://www.youtube.com/watch?v=Slj4-Sv-YNA,YouTube
The Baader Meinhof Complex,"Action, Biography, Crime, Drama, History, Thriller","Dramas,20th Century Period Pieces,Thrillers,International Dramas,Courtroom Dramas,International Movies,Political Dramas,Political Thrillers,Dramas based on a book,German Films,Police Thrillers,Police Dramas,Police Movies,Dramas based on real life,Crime Thrillers,Crime Dramas","German, English, French, Swedish, Arabic",Movie,3.9,"Switzerland,Germany",> 2 hrs,Uli Edel,"Uli Edel, Stefan Aust, Bernd Eichinger","Jan Josef Liefers, Martina Gedeck, Johanna Wokalek, Moritz Bleibtreu",R,7.4,85.0,76.0,4.0,21.0,476270.0,2008-09-25,2015-04-14,Constantin Film Produktion,https://www.netflix.com/watch/70112501,https://www.imdb.com/title/tt0765432,A radical terrorist group known as the Red Army Faction uses extreme violence to combat what they perceive as a new fascist threat in 1970s Germany.,36119.0,https://occ-0-38-1501.1.nflxso.net/art/3ad0b/f2f1fcfabf66efb7cac1967cf8178a39dd23ad0b.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg4OTY5OTY5OV5BMl5BanBnXkFtZTcwMjk1MzY3Mg@@._V1_SX300.jpg,https://www.youtube.com/watch?v=6IVKAAsqcrI,YouTube
Divine Secrets of the Ya-Ya Sisterhood,Drama,"Dramas,20th Century Period Pieces,Dramas based on a book,Tearjerkers",English,Movie,2.6,"Thailand,Hong Kong,Singapore,Malaysia",1-2 hour,Callie Khouri,"Callie Khouri, Rebecca Wells, Mark Andrus","James Garner, Fionnula Flanagan, Sandra Bullock, Ellen Burstyn",PG-13,6.1,45.0,48.0,1.0,7.0,69599016.0,2002-06-07,2015-04-14,"Gaylord Films, Sisterhood Productions, All Girl Productions",https://www.netflix.com/watch/60022979,https://www.imdb.com/title/tt0279778,"In this Southern-fried comedy, a group of lifelong female friends go through decades of ups and downs, becoming all the stronger for it.",18138.0,https://occ-0-2219-2218.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABYd1d46CUiCPi-B6X94VzgHIbXtAu7RzcpFHrtmKTIIVfjcqosdIjkfPLCSgsFsfY_9teq01BXfYpQtts4oIBQpNk-8xl0Y.jpg?r=d36,http://ia.media-imdb.com/images/M/MV5BMTc1MDEyOTgxNV5BMl5BanBnXkFtZTYwMjg3ODM3._V1_SX300.jpg,https://www.youtube.com/watch?v=TEgMH16DYN8,YouTube
Slumdog Millionaire,"Drama, Romance","Independent Dramas,Romantic Dramas,Dramas,Independent Films,Award-winning Movies,Academy Award-Winning Films,BAFTA Award-Winning Films,International Movies,Dramas based on a book,British Films,Golden Globe Award-winning Films,Romantic Films,Movies Based on Books,Romantic Independent Movies,Romantic Favorites","English, Hindi, French, German",Movie,4.2,"Romania,Hungary,Brazil,Czech Republic,Argentina,Slovakia,Mexico,Colombia",1-2 hour,"Loveleen Tandan, Danny Boyle","Vikas Swarup, Simon Beaufoy","Saurabh Shukla, Dev Patel, Raj Zutshi, Anil Kapoor",R,8.0,91.0,84.0,154.0,132.0,141319928.0,2008-12-25,2015-04-14,"Celador Productions, Film 4",https://www.netflix.com/watch/70095140,https://www.imdb.com/title/tt1010048,"After coming within one question of winning a fortune on a game show, an uneducated young slumdog is accused of cheating and arrested.",800113.0,https://occ-0-1490-1489.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVrYzBPOis2Urr3Q7U39-s9tlkchvegYqGGOJ64DyI8hFaDRIRsi8sdXXEUUB92eyAvMk2WuaOOcrxscMbp5JJLhYA.jpg?r=bad,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU2NTA5NzI0N15BMl5BanBnXkFtZTcwMjUxMjYxMg@@._V1_SX300.jpg,https://www.youtube.com/watch?v=AIzbwV7on6Q,YouTube
Training Day,"Crime, Drama, Thriller","Dramas,Thrillers,Police Thrillers,Police Dramas,Police Movies,Crime Thrillers,Crime Dramas,Social Issue Dramas,Crime Films","English, Russian, Spanish, Korean, Greek",Movie,3.6,"Switzerland,Belgium,France,Japan,South Korea,Germany,Australia,Sweden,Turkey,Italy,United States",> 2 hrs,Antoine Fuqua,David Ayer,"Ethan Hawke, Denzel Washington, Scott Glenn, Tom Berenger",R,7.7,73.0,69.0,18.0,23.0,76631907.0,2001-10-05,2015-04-14,"Village Roadshow Prod., NPV Entertainment",https://www.netflix.com/watch/60021234,https://www.imdb.com/title/tt0139654,"A rookie cop tries to prove himself to a narcotics agent during a ride along, but soon he suspects that the veteran detective may be a thug himself.",392711.0,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSOg4S175G2D6UgX2JsxiElvzotRFl3QLNhAFaShKjE8TZqpOVTTKhvqBW5T1Gp60Ik2FC_cKqHhsolbAFd8VrkD1g.jpg?r=8bc,https://images-na.ssl-images-amazon.com/images/M/MV5BMDZkMTUxYWEtMDY5NS00ZTA5LTg3MTItNTlkZWE1YWRjYjMwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,https://www.youtube.com/watch?v=CKxKB3IFdIs,YouTube
Reservoir Dogs,"Crime, Drama, Thriller","Independent Films,Thrillers,Gangster Films,Film Noir,Police Thrillers,Police Movies,Crime Thrillers,Independent Thrillers,Crime Films,Cult Films,Heist Films,Classic Films,Classic Thrillers",English,Movie,4.2,"France,Russia,Canada,Italy,Germany,Switzerland",1-2 hour,Quentin Tarantino,"Roger Avary, Quentin Tarantino","Michael Madsen, Harvey Keitel, Chris Penn, Tim Roth",R,8.3,92.0,79.0,12.0,23.0,2832029.0,1992-09-02,2015-04-14,"Live Entertainment, Dog Eat Dog Productions",https://www.netflix.com/watch/902003,https://www.imdb.com/title/tt0105236,"In Quentin Tarantinos raw directorial debut, a botched robbery indicates a police informant, and pressure mounts in the aftermath at a warehouse.",920527.0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABbviqcB5Y4TL_fjt3WfmgLG-c7d2_U3lqELzv43Hj3E2_K-Fq29PO7R2Sq7MrTH5QZKl2IFONbchsOTPOLQO9y9BjQ.jpg?r=96e,https://images-na.ssl-images-amazon.com/images/M/MV5BZmExNmEwYWItYmQzOS00YjA5LTk2MjktZjEyZDE1Y2QxNjA1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,https://www.youtube.com/watch?v=GLPJSmUHZvU,YouTube
Pans Labyrinth,"Drama, Fantasy, War","Dramas,International Dramas,Sci-Fi & Fantasy,Fantasy,Spanish Films,International Movies,International Sci-Fi & Fantasy,Political Dramas",Spanish,Movie,4.6,"United States,South Korea",1-2 hour,Guillermo del Toro,Guillermo del Toro,"Doug Jones, Maribel Verdú, Ivana Baquero, Sergi López",R,8.2,95.0,98.0,109.0,115.0,37634615.0,2007-01-19,2015-04-14,"Warner Bros., Tequila Gang",https://www.netflix.com/watch/70050507,https://www.imdb.com/title/tt0457430,Young Ofelia meets a mythical faun who claims she is destined to become princess of the Underworld. But first she must carry out three perilous tasks.,621069.0,https://occ-0-2042-299.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZ2L-aAQwmbHEuZB_eAX318AprTPU_64ZGoeM6lZQH86EWMnyJeBTKizTn6N-Zw1EjdG8lzZKJWmS939Fv5nGfa_NA.jpg?r=653,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU3ODg2NjQ5NF5BMl5BanBnXkFtZTcwMDEwODgzMQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=8K0k0EkgXdk,YouTube
The Final Destination,"Action, Fantasy, Horror, Sci-Fi, Thriller","Horror Films,Supernatural Horror Films,Teen Screams,Gory Horror Films",English,Movie,1.8,"Japan,Switzerland,Italy",1-2 hour,David R. Ellis,"Eric Bress, Jeffrey Reddick","Haley Webb, Bobby Campo, Nick Zano, Shantel VanSanten",R,5.2,28.0,30.0,2.0,2.0,66477700.0,2009-08-28,2015-04-14,"Practical Pictures, Parallel Zide",https://www.netflix.com/watch/70113006,https://www.imdb.com/title/tt1144884,"Nick OBannon thinks hes cheated death when he keeps a grisly premonition from becoming reality, but he soon realizes that fate has other plans.",97221.0,https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABfqevqmvYPfAJ1fbEn9vh88NkietRcxVx4A4FaUj1tFam8uetGUvqzaix464mJxk2J26n3bNAZUf78tn32Cy5RSv3w.jpg?r=ba1,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQyMzQ5NjI2MF5BMl5BanBnXkFtZTcwNDA5MjM2Mg@@._V1_SX300.jpg,https://www.youtube.com/watch?v=I3s-Ca73utM,YouTube
Dredd,"Action, Crime, Sci-Fi","Sci-Fi & Fantasy,Action Sci-Fi & Fantasy,Action & Adventure,Crime Action & Adventure,Action",English,Movie,3.5,"Canada,United Kingdom",1-2 hour,Pete Travis,"John Wagner, Carlos Ezquerra, Alex Garland","Andile Mngadi, Porteus Xandau, Rachel Wood, Karl Urban",R,7.1,79.0,60.0,2.0,14.0,13414714.0,2012-09-21,2015-04-14,DNA Films,https://www.netflix.com/watch/70242801,https://www.imdb.com/title/tt1343727,"In a catastrophic future, the remaining population is crowded into megacities, where all-powerful and ultraviolent cops are hunting for terrorists.",252535.0,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRIpeAY6L6qZ1Pvvbsi2Z9iIWZusfwb6_O3YILFu4rShlCwJX_S8qGA_cs4AGGtYOEYm9F-GXEoMxcrpY_bF7epKHg.jpg?r=d79,https://images-na.ssl-images-amazon.com/images/M/MV5BODkyNDQzMzUzOF5BMl5BanBnXkFtZTcwODYyMDEyOA@@._V1_SX300.jpg,https://www.youtube.com/watch?v=qv-6dNqqnMA,YouTube
You Dont Mess with the Zohan,Comedy,"Spoofs & Satires,Action Comedies,Comedies,Action & Adventure,Late Night Comedies,Political Comedies,Laugh-Out-Loud Comedies","English, Hebrew",Movie,2.4,"Japan,Switzerland,Iceland,Belgium,Russia,Brazil,South Africa,Israel,Italy,Argentina,Greece,Turkey,Mexico,Colombia,United Kingdom,Germany,Australia,Canada",1-2 hour,Dennis Dugan,"Robert Smigel, Adam Sandler, Judd Apatow","Emmanuelle Chriqui, Adam Sandler, John Turturro, Nick Swardson",PG-13,5.5,37.0,54.0,2.0,2.0,100018837.0,2008-06-06,2015-04-14,Happy Madison Productions,https://www.netflix.com/watch/70087541,https://www.imdb.com/title/tt0960144,An Israeli counterterrorism soldier with a secretly fabulous ambition to become a Manhattan hairstylist will do anything to make his dreams come true.,191404.0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZ2a0ZXQ-sW_0CErO2BIBp9U9k9Y-XmN-Dgv8SPZH0IvFjEtGVQph1HU6c-lGiL12B6TUbeeRdcTZngh0up5cq3x7A.jpg?r=a07,https://images-na.ssl-images-amazon.com/images/M/MV5BMzE2MzEzNDc5M15BMl5BanBnXkFtZTcwMzYxOTA3MQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=ucmnTmYpGhI,YouTube
Defiance,"Action, Drama, History, Thriller, War","Dramas,Military Dramas,20th Century Period Pieces,Military Action & Adventure,Dramas based on a book,Action & Adventure,Dramas based on real life,Dramas based on contemporary literature,Movies Based on Real Life,Movies Based on Books","English, German, Russian",Movie,3.1,"Romania,United Kingdom,Switzerland,Germany,Sweden,Czech Republic,Slovakia,United States,Hungary,Spain",> 2 hrs,Edward Zwick,"Edward Zwick, Nechama Tec, Clayton Frohman","Liev Schreiber, Jamie Bell, Daniel Craig, Alexa Davalos",R,7.2,58.0,58.0,2.0,5.0,28644813.0,2009-01-16,2015-04-14,"Grosvenor Park Productions, Bedford Falls Productions",https://www.netflix.com/watch/70101696,https://www.imdb.com/title/tt1034303,"In this action-packed drama based on an extraordinary true story, four brothers protect more than 1,000 Jewish refugees during World War II.",138593.0,https://occ-0-1490-1489.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAAAVuOIw7pQPD5kf7_KZ-pgezwPNPUlpRWEYOszcuDzAh4JJcIJLVqMBAVbOhZ3DJDURgCwjDenkuNCndiSy4X4w9H4g.jpg?r=cbf,https://images-na.ssl-images-amazon.com/images/M/MV5BMjAzODIzMTE3Ml5BMl5BanBnXkFtZTcwNDU1MjQzMg@@._V1_SX300.jpg,https://www.youtube.com/watch?v=n-9eUXSzZNk,YouTube
Red Dawn,"Action, Drama","Action Thrillers,Military Action & Adventure,Action & Adventure,US Movies","English, Korean",Movie,1.7,"Hong Kong,India,Germany,Singapore,Sweden",1-2 hour,Dan Bradley,"Carl Ellsworth, Kevin Reynolds, John Milius, Jeremy Passmore","Adrianne Palicki, Chris Hemsworth, Josh Hutcherson, Josh Peck",PG-13,5.4,15.0,31.0,1.0,4.0,44806783.0,2012-11-21,2015-04-14,Contrafilm,https://www.netflix.com/watch/70127225,https://www.imdb.com/title/tt1234719,"When North Korean military forces invade American soil, Marine Jed Eckert and a group of his teenage pals elude capture and organize a resistance.",73414.0,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABUbDQGlFl4VdWgnO2-UFSV0PHLNsL0FiW6GnVal2HHQdSQFyG_CEpGhYAz1ICHQnCqHExapZ8iGrNcvvAW2YJW95Nw.jpg?r=e5a,https://images-na.ssl-images-amazon.com/images/M/MV5BMjI0MDAwMzA1M15BMl5BanBnXkFtZTcwNzIxMjY3OA@@._V1_SX300.jpg,https://www.youtube.com/watch?v=nGoe7BdGdlg,YouTube
Diana,"Biography, Drama, Romance","Dramas,Romantic Dramas,20th Century Period Pieces,Political Dramas,Dramas based on a book,Biographical Dramas,Dramas based on real life,Romantic Films,Films Based on Real Life,Films Based on Books,British Films,British Dramas,Romantic British Films",English,Movie,1.6,"India,United Kingdom,Germany,Canada",1-2 hour,Oliver Hirschbiegel,"Stephen Jeffreys, Kate Snell","Cas Anvar, Charles Edwards, James Puddephatt, Naomi Watts",PG-13,5.5,7.0,35.0,2.0,2.0,335359.0,2013-09-20,2015-04-14,"Film i Väst, Ecosse Films, Le Pacte, Scope Pictures, Filmgate",https://www.netflix.com/watch/70291112,https://www.imdb.com/title/tt1758595,"In the two years before her death, Princess Diana embarks on a vital campaign to ban landmines and on a passionate love affair with Dr. Hasnat Khan.",19181.0,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABWr4NGU7kPZW73UEveg35wrdJmmYNNM5BCBPaG0GejzJUBqB_vjwtQJgI_KaSW8Q45io6LfW3eq67YHuKKaM2lyc6A.jpg?r=10a,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA0NDg0Njg3N15BMl5BanBnXkFtZTgwMTMxMzMzMDE@._V1_SX300.jpg,https://www.youtube.com/watch?v=axLcfpj7xeU,YouTube
Dear John,"Drama, Romance, War","Dramas,Romantic Dramas,Dramas based on a book,Tearjerkers,Romantic Films,Films Based on Books",English,Movie,2.2,"United Kingdom,Japan,Romania,Switzerland,Canada,Spain,Germany,Israel,Italy,Australia,Singapore,Sweden",1-2 hour,Lasse Hallström,"Nicholas Sparks, Jamie Linden","Channing Tatum, Henry Thomas, Amanda Seyfried, Richard Jenkins",PG-13,6.3,28.0,43.0,4.0,8.0,80014842.0,2010-02-05,2015-04-14,"Temple Hill, Relativity",https://www.netflix.com/watch/70117302,https://www.imdb.com/title/tt0989757,"While on leave, a U.S. soldier falls for a Southern college student, but when he must reenlist, their handwritten letters hold the lovers together.",139602.0,https://occ-0-1926-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABTSdncKXu3_gDz7ob7YKYH5MFG_exnqPmRYN86qQkV-g9QChqMYOrDKEA08J_6JwNMzerV4I7EyTVgPFsxCR_5sg4Q.jpg?r=482,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk1NDEzMTU5NV5BMl5BanBnXkFtZTcwNTI3MTk5Mg@@._V1_SX300.jpg,https://www.youtube.com/watch?v=r0fq5dd0C60,YouTube
Scooby-Doo,"Adventure, Comedy, Family, Fantasy, Mystery","Family Features,Family Comedies,Family Adventures,Children & Family Films,Comedies,Teen Comedies,Sci-Fi & Fantasy,Adventures,Fantasy,Mysteries,Slapstick Comedies,Family Sci-Fi & Fantasy,Action & Adventure,Blockbuster Action & Adventure,US Movies",English,Movie,1.9,"Romania,Hungary,France,Belgium,Switzerland,Canada,Brazil,Czech Republic,Netherlands,Germany,Australia,Poland,Argentina,Slovakia,Mexico,Colombia",1-2 hour,Raja Gosnell,"William Hanna, Craig Titley, James Gunn, Joseph Barbera","Freddie Prinze Jr., Sarah Michelle Gellar, Matthew Lillard, Linda Cardellini",PG,5.1,31.0,35.0,5.0,14.0,153294164.0,2002-06-14,2015-04-14,"Meespierson Film CV, Village Roadshow Prod., Atlas Entertainment, Hanna-Barbera Productions, Mosaic Media Group",https://www.netflix.com/watch/60020823,https://www.imdb.com/title/tt0267913,"In this live-action feature, Scooby and the gang journey to Spooky Island, where a magical force is awakened that could spell doom for the human race.",99976.0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABeAUQge7nIND081Bazds1nQPi_5rKV6wostB7wKOHyD-KtrqQcs5ST8jNpq920V0H8rz6l39Z-3IPbQzwNE_CEefMw.jpg?r=a02,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg4MzMzMTY0OF5BMl5BanBnXkFtZTYwNzM3MTg2._V1_SX300.jpg,https://www.youtube.com/watch?v=Bzz4EQ2NmpQ,YouTube
Don Jon,"Comedy, Drama, Romance","Steamy Romantic Films,Independent Films,Romantic Independent Films,Romantic Comedies,Independent Comedies,Comedies,Romantic Films,Romantic Dramas,Dramas,Steamy Romance,US Movies",English,Movie,3.5,"Thailand,India",1-2 hour,Joseph Gordon-Levitt,Joseph Gordon-Levitt,"Joseph Gordon-Levitt, Scarlett Johansson, Julianne Moore, Tony Danza",R,6.5,79.0,66.0,2.0,27.0,24477704.0,2013-09-27,2015-04-14,"HitRecord Films, Ram Bergman",https://www.netflix.com/watch/70267239,https://www.imdb.com/title/tt2229499,"Jon Martellos romantic exploits are legendary among his friends, but his obsession with online porn saps his enthusiasm for real sex.",229335.0,https://occ-0-1091-300.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVL_gskm008tSR6pdYKqPJHaaC0R6ZYCx8eK90a3TA9opDSHxahGnbIyAb7MKPRACT_NsaaT9a9UNsqs00fyOuC5cg.jpg?r=b56,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQxNTc3NDM2MF5BMl5BanBnXkFtZTcwNzQ5NTQ3OQ@@._V1._CR28,28.649993896484375,1271,1991.0000305175781_SX89_AL_.jpg_V1_SX300.jpg",https://www.youtube.com/watch?v=2A63Ly0Pvpk,YouTube
The Girl with the Dragon Tattoo,"Crime, Drama, Mystery, Thriller","Police Mysteries,Dramas,Thrillers,Dramas based on a book,Police Thrillers,Police Dramas,Police Movies,Dramas based on contemporary literature,Crime Thrillers,Mysteries,Crime Dramas,Film Noir,Cyberpunk,Films Based on Books,Crime Movies,US Movies","English, Swedish",Movie,3.9,"Russia,Switzerland,Japan,Canada,Germany,United States",> 2 hrs,David Fincher,"Stieg Larsson, Steven Zaillian","Rooney Mara, Stellan Skarsgård, Christopher Plummer, Daniel Craig",R,7.8,87.0,71.0,27.0,91.0,102515793.0,2011-12-21,2015-04-14,"Scott Rudin Productions, Yellow Bird",https://www.netflix.com/watch/70207663,https://www.imdb.com/title/tt1568346,"When a young computer hacker is tasked with investigating a prying journalist, their separate missions become entangled amid a decades-old conspiracy.",424545.0,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVYx_q-RKSh9zg4C93tGzFDj2f4Ig0RsRICwM4eq3gyd8iw2Q3ssOC5IRaGcj-hg0is8nYl-0GNWhuk-Z6ZAJelTNA.jpg?r=c77,https://images-na.ssl-images-amazon.com/images/M/MV5BMTczNDk4NTQ0OV5BMl5BanBnXkFtZTcwNDAxMDgxNw@@._V1_SX300.jpg,https://www.youtube.com/watch?v=DqQe3OrsMKI,YouTube
